Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
410,1.49,17.427440633245382,10.0625,,1.49,410,,,17.42744063,410,,,10.06,410,,,,410
,,,,,,,,,,,,,,,,,,
262,5.99,5.4978614200171085,3.606299212598425,,5.99,262,,,5.49786142,262,,,3.606299213,262,,,,262
,,,,,,,,,,,,,,,,,,
109,0,4.627659574468085,8.333333333333334,,0,109,,,4.627659574,109,,,8.333333333,109,,,,109
,,,,,,,,,,,,,,,,,,
222,19.99,14.454237288135593,1.8100558659217878,,19.99,222,,,14.45423729,222,,,1.810055866,222,,,,222
,,,,,,,,,,,,,,,,,,
202,0,6.23225241,0.11428571428571428,,0,202,,,6.23225241,202,,,0.114285714,202,,,,202
,,,,,,,,,,,,,,,,,,
130,49.99,5.851211073,3,,49.99,130,,,5.851211073,130,,,3.00,130,,,,130
,,,,,,,,,,,,,,,,,,
207,19.99,9.808219178082192,0.8122605363984674,,19.99,207,,,9.808219178,207,,,0.812260536,207,,,,207
,,,,,,,,,,,,,,,,,,
172,9.99,2.8509249183895538,3.103448275862069,,9.99,172,,,2.850924918,172,,,3.103448276,172,,,,172
,,,,,,,,,,,,,,,,,,
266,34.99,5.768025078369906,0.3831417624521073,,34.99,266,,,5.768025078,266,,,0.383141762,266,,,,266
,,,,,,,,,,,,,,,,,,
137,22.99,7.487288135593221,2.5492957746478875,,22.99,137,,,7.487288136,137,,,2.549295775,137,,,,137
,,,,,,,,,,,,,,,,,,
1558,23.99,5.249825052484255,12.921052631578947,,23.99,1558,,,5.249825052,1558,,,12.92105263,1558,,,,1558
,,,,,,,,,,,,,,,,,,
104,0,3.7176470588235295,5.636363636363637,,0,104,,,3.717647059,104,,,5.636363636,104,,,,104
,,,,,,,,,,,,,,,,,,
659,19.99,20.66973638770577,11.714285714285714,,19.99,659,,,20.66973639,659,,,11.71428571,659,,,,659
,,,,,,,,,,,,,,,,,,
177,59.99,1.4161755075311067,4.087378640776699,,59.99,177,,,1.416175508,177,,,4.087378641,177,,,,177
,,,,,,,,,,,,,,,,,,
170,0,5.437628921941157,6.727969348659004,,0,170,,,5.437628922,170,,,6.727969349,170,,,,170
,,,,,,,,,,,,,,,,,,
103,0,11.75564681724846,1.0689655172413792,,0,103,,,11.75564682,103,,,1.068965517,103,,,,103
,,,,,,,,,,,,,,,,,,
356,13.99,8.391726251276813,1,,13.99,356,,,8.391726251,356,,,1.00,356,,,,356
,,,,,,,,,,,,,,,,,,
493,0.49,2.2535211267605635,0.3533834586466165,,0.49,493,,,2.253521127,493,,,0.353383459,493,,,,493
,,,,,,,,,,,,,,,,,,
484,24.99,2.3964620187304893,0.41379310344827586,,24.99,484,,,2.396462019,484,,,0.413793103,484,,,,484
,,,,,,,,,,,,,,,,,,
277,19.99,26.11185682326622,0,,19.99,277,,,26.11185682,277,,,0.00,277,,,,277
,,,,,,,,,,,,,,,,,,
904,0,1.933743492664458,0.3831417624521073,,0,904,,,1.933743493,904,,,0.383141762,904,,,,904
,,,,,,,,,,,,,,,,,,
654,29.99,12.831922611850061,2.730538922155689,,29.99,654,,,12.83192261,654,,,2.730538922,654,,,,654
,,,,,,,,,,,,,,,,,,
1203,39.99,14.09622107541202,0.7164750957854407,,39.99,1203,,,14.09622108,1203,,,0.716475096,1203,,,,1203
,,,,,,,,,,,,,,,,,,
165,39.99,3.4615384615384617,5.980842911877395,,39.99,165,,,3.461538462,165,,,5.980842912,165,,,,165
,,,,,,,,,,,,,,,,,,
314,29.99,5.570247933884297,2.380952380952381,,29.99,314,,,5.570247934,314,,,2.380952381,314,,,,314
,,,,,,,,,,,,,,,,,,
123,19.99,6.117647058823529,0.685823755,,19.99,123,,,6.117647059,123,,,0.69,123,,,,123
,,,,,,,,,,,,,,,,,,
328,0,18.77059925093633,1.103448275862069,,0,328,,,18.77059925,328,,,1.103448276,328,,,,328
,,,,,,,,,,,,,,,,,,
209,0,2.128329297820823,0.3831417624521073,,0,209,,,2.128329298,209,,,0.383141762,209,,,,209
,,,,,,,,,,,,,,,,,,
1097,0,11.950086058519794,1.7083333333333333,,0,1097,,,11.95008606,1097,,,1.708333333,1097,,,,1097
,,,,,,,,,,,,,,,,,,
101,0,5.970954356846473,0,,0,101,,,5.970954357,101,,,0.00,101,,,,101
,,,,,,,,,,,,,,,,,,
114,24.99,3.1174438687392056,0.6107784431137725,,24.99,114,,,3.117443869,114,,,0.610778443,114,,,,114
,,,,,,,,,,,,,,,,,,
130,24.99,8.251221615406726,5.5,,24.99,130,,,8.251221615,130,,,5.50,130,,,,130
,,,,,,,,,,,,,,,,,,
1518,29.99,7.525196850393701,25.846743295019156,,29.99,1518,,,7.52519685,1518,,,25.8467433,1518,,,,1518
,,,,,,,,,,,,,,,,,,
359,19.99,4.507173601147776,15.383141762452107,,19.99,359,,,4.507173601,359,,,15.38314176,359,,,,359
,,,,,,,,,,,,,,,,,,
479,14.99,9.347911741528764,1.3831417624521072,,14.99,479,,,9.347911742,479,,,1.383141762,479,,,,479
,,,,,,,,,,,,,,,,,,
2099,29.99,7.685132843414358,21.970149253731343,,29.99,2099,,,7.685132843,2099,,,21.97014925,2099,,,,2099
,,,,,,,,,,,,,,,,,,
363,17.99,4.5493112947658405,0.3831417624521073,,17.99,363,,,4.549311295,363,,,0.383141762,363,,,,363
,,,,,,,,,,,,,,,,,,
328,9.99,7.257756563245823,1.0784313725490196,,9.99,328,,,7.257756563,328,,,1.078431373,328,,,,328
,,,,,,,,,,,,,,,,,,
200,0,4.152512998266897,0,,0,200,,,4.152512998,200,,,0.00,200,,,,200
,,,,,,,,,,,,,,,,,,
304,39.99,4.541201489,24.298850574712645,,39.99,304,,,4.541201489,304,,,24.29885057,304,,,,304
,,,,,,,,,,,,,,,,,,
249,59.99,4.71025641,5.731800766283525,,59.99,249,,,4.71025641,249,,,5.731800766,249,,,,249
,,,,,,,,,,,,,,,,,,
